men	2683	0.79
dor	2454	0.72
que	1490	0.44
ble	1447	0.43
lla	1367	0.40
tar	1351	0.40
car	1345	0.40
tra	1274	0.37
cha	1209	0.36
rio	1203	0.35
dad	1187	0.35
cia	1115	0.33
nar	1045	0.31
qui	1038	0.31
zar	971	0.29
llo	962	0.28
tro	887	0.26
lar	860	0.25
gra	857	0.25
rra	845	0.25
cio	837	0.25
rre	790	0.23
pro	783	0.23
chi	775	0.23
pre	770	0.23
cho	693	0.20
gua	680	0.20
per	669	0.20
tri	647	0.19
gar	629	0.19
cer	624	0.18
rro	618	0.18
che	617	0.18
ter	593	0.17
mar	588	0.17
lle	583	0.17
can	579	0.17
tre	569	0.17
man	564	0.17
cor	552	0.16
cen	545	0.16
bre	544	0.16
tor	534	0.16
ria	531	0.16
par	527	0.16
nis	517	0.15
rar	511	0.15
bar	496	0.15
lis	477	0.14
ver	467	0.14
dis	460	0.14
bra	449	0.13
ten	442	0.13
sar	440	0.13
tis	438	0.13
dar	437	0.13
com	435	0.13
sis	431	0.13
sen	422	0.12
nal	421	0.12
gue	401	0.12
cal	398	0.12
rri	395	0.12
for	382	0.11
tan	376	0.11
jar	368	0.11
dia	367	0.11
den	366	0.11
chu	363	0.11
ris	338	0.10
pla	336	0.10
ven	333	0.10
res	332	0.10
len	331	0.10
lan	331	0.10
cas	329	0.10
nes	326	0.10
por	324	0.10
dio	324	0.10
ren	315	0.09
san	312	0.09
ran	311	0.09
sal	303	0.09
cua	300	0.09
gui	291	0.09
tal	287	0.08
cla	276	0.08
nia	271	0.08
pen	259	0.08
tes	254	0.07
ras	252	0.07
cre	251	0.07
cos	251	0.07
sio	249	0.07
les	246	0.07
pan	245	0.07
tón	241	0.07
bri	241	0.07
cro	238	0.07
dro	230	0.07
bro	227	0.07
tas	225	0.07
mor	224	0.07
pia	222	0.07
tos	218	0.06
ber	218	0.06
mal	215	0.06
nio	213	0.06
gre	211	0.06
gan	209	0.06
ral	206	0.06
mon	206	0.06
cri	205	0.06
lia	204	0.06
cul	204	0.06
cam	204	0.06
lec	202	0.06
nan	199	0.06
dra	198	0.06
sor	196	0.06
ban	194	0.06
dri	189	0.06
mos	187	0.06
ple	185	0.05
sub	182	0.05
der	180	0.05
sin	178	0.05
pli	178	0.05
gen	177	0.05
pos	170	0.05
ñar	169	0.05
var	168	0.05
ser	168	0.05
rru	165	0.05
mis	165	0.05
bal	164	0.05
pas	163	0.05
lin	162	0.05
nos	161	0.05
pri	160	0.05
zón	159	0.05
pis	159	0.05
las	159	0.05
bio	157	0.05
mia	155	0.05
nen	154	0.05
tem	152	0.04
bor	152	0.04
pin	151	0.04
lli	151	0.04
fre	150	0.04
cis	150	0.04
sia	149	0.04
trí	148	0.04
far	148	0.04
tur	147	0.04
cau	147	0.04
bla	145	0.04
fra	144	0.04
das	143	0.04
pon	142	0.04
cir	141	0.04
bas	141	0.04
nas	139	0.04
flo	139	0.04
pun	138	0.04
mas	138	0.04
lón	138	0.04
dos	138	0.04
zan	137	0.04
pul	137	0.04
cón	137	0.04
fal	136	0.04
cin	136	0.04
ros	133	0.04
dan	132	0.04
pal	131	0.04
hor	130	0.04
cra	129	0.04
gri	128	0.04
fla	128	0.04
dre	127	0.04
tir	126	0.04
via	125	0.04
mer	125	0.04
lio	125	0.04
vis	123	0.04
pio	123	0.04
dal	123	0.04
sem	122	0.04
bia	122	0.04
tin	121	0.04
tia	121	0.04
her	121	0.04
rón	120	0.04
fun	119	0.04
tua	118	0.03
lam	118	0.03
grá	118	0.03
pes	116	0.03
lon	116	0.03
fle	116	0.03
dón	116	0.03
ron	111	0.03
cle	111	0.03
plo	110	0.03
glo	109	0.03
gal	108	0.03
dir	107	0.03
fan	106	0.03
ner	104	0.03
quí	103	0.03
dez	103	0.03
cep	103	0.03
jón	102	0.03
gro	102	0.03
gio	101	0.03
gas	101	0.03
van	100	0.03
clo	100	0.03
bru	99	0.03
fri	98	0.03
mul	97	0.03
hue	96	0.03
gia	95	0.03
nés	93	0.03
gor	93	0.03
col	93	0.03
neu	92	0.03
cur	92	0.03
vol	91	0.03
tín	91	0.03
gón	91	0.03
rie	90	0.03
cun	90	0.03
til	89	0.03
sus	89	0.03
duc	89	0.03
cli	89	0.03
fis	88	0.03
plu	87	0.03
lum	87	0.03
gos	87	0.03
tru	86	0.03
fec	86	0.03
cue	86	0.03
cru	86	0.03
vio	83	0.02
rin	83	0.02
ces	83	0.02
sol	82	0.02
nor	82	0.02
mio	82	0.02
fer	82	0.02
bus	82	0.02
ton	81	0.02
tuo	80	0.02
ses	79	0.02
ins	79	0.02
psi	78	0.02
jun	77	0.02
his	77	0.02
don	77	0.02
bli	77	0.02
tio	76	0.02
tam	75	0.02
mes	73	0.02
mag	73	0.02
cui	73	0.02
cie	73	0.02
bis	73	0.02
tec	72	0.02
gla	72	0.02
fac	72	0.02
bos	71	0.02
sul	70	0.02
